Date_reported,Country_code,Country,WHO_region,New_hospitalizations_last_7days,New_icu_admissions_last_7days,New_hospitalizations_last_28days,New_icu_admissions_last_28days
2025-03-23,DNK,Denmark,EUR,,,46,
2025-03-23,DJI,Djibouti,EMR,,,,
2025-03-23,DMA,Dominica,AMR,,,,
2025-03-23,DOM,Dominican Republic,AMR,,,,
2025-03-23,ECU,Ecuador,AMR,,,,
2025-03-23,EGY,Egypt,EMR,,,,
2025-03-23,SLV,El Salvador,AMR,,,,
2025-03-23,GNQ,Equatorial Guinea,AFR,,,,
2025-03-23,ERI,Eritrea,AFR,,,,
2025-03-23,EST,Estonia,EUR,4,,44,1
2025-03-23,SWZ,Eswatini,AFR,,,,
2025-03-23,ETH,Ethiopia,AFR,,,,
2025-03-23,FLK,Falkland Islands (Malvinas),AMR,,,,
2025-03-23,FRO,Faroe Islands,EUR,,,,
2025-03-23,FJI,Fiji,WPR,,,,
2025-03-23,FIN,Finland,EUR,,,,
2025-03-23,FRA,France,EUR,1,,13,11
2025-03-23,GUF,French Guiana,AMR,,,,
2025-03-23,PYF,French Polynesia,WPR,,,,
2025-03-23,GAB,Gabon,AFR,,,,
2025-03-23,GMB,Gambia,AFR,,,,
2025-03-23,GEO,Georgia,EUR,,,,
2025-03-23,DEU,Germany,EUR,,,,
2025-03-23,GHA,Ghana,AFR,,,,
2025-03-23,GIB,Gibraltar,EUR,,,,
2025-03-23,GRC,Greece,EUR,90,1,423,8
2025-03-23,GRL,Greenland,EUR,,,,
2025-03-23,GRD,Grenada,AMR,,,,
2025-03-23,GLP,Guadeloupe,AMR,,,,
2025-03-23,GUM,Guam,WPR,,,,
2025-03-23,GTM,Guatemala,AMR,0,0,4,0
2025-03-23,GGY,Guernsey,EUR,,,,
2025-03-23,GIN,Guinea,AFR,,,,
2025-03-23,GNB,Guinea-Bissau,AFR,,,,
2025-03-23,GUY,Guyana,AMR,,,0,0
2025-03-23,HTI,Haiti,AMR,0,0,0,0
2025-03-23,VAT,Holy See,EUR,,,,
2025-03-23,HND,Honduras,AMR,0,0,1,0
2025-03-23,HUN,Hungary,EUR,,,,
2025-03-23,ISL,Iceland,EUR,,,,
