Country,Country_code,Who_region,Wb_income,Year,Month,Agegroup,Deaths
Cameroon,CMR,AFR,LMC,2025,1,15_64,
Cameroon,CMR,AFR,LMC,2025,1,5_14,
Cameroon,CMR,AFR,LMC,2025,1,65+,
Cameroon,CMR,AFR,LMC,2025,2,5_14,
Cameroon,CMR,AFR,LMC,2025,2,65+,
Canada,CAN,AMR,HIC,2025,1,0_4,
Canada,CAN,AMR,HIC,2025,1,5_14,
Canada,CAN,AMR,HIC,2025,2,0_4,
Canada,CAN,AMR,HIC,2025,1,65+,
Canada,CAN,AMR,HIC,2025,2,65+,
Canada,CAN,AMR,HIC,2025,1,15_64,
Canada,CAN,AMR,HIC,2025,2,15_64,
Canada,CAN,AMR,HIC,2025,2,5_14,
Cayman Islands,CYM,AMR,HIC,2025,1,0_4,
Cayman Islands,CYM,AMR,HIC,2025,2,0_4,
Cayman Islands,CYM,AMR,HIC,2025,1,15_64,
Cayman Islands,CYM,AMR,HIC,2025,2,15_64,
Cayman Islands,CYM,AMR,HIC,2025,1,5_14,
Cayman Islands,CYM,AMR,HIC,2025,1,65+,
Cayman Islands,CYM,AMR,HIC,2025,2,5_14,
Cayman Islands,CYM,AMR,HIC,2025,2,65+,
Central African Republic,CAF,AFR,LIC,2025,1,65+,
Central African Republic,CAF,AFR,LIC,2025,2,65+,
Central African Republic,CAF,AFR,LIC,2025,1,15_64,
Central African Republic,CAF,AFR,LIC,2025,1,0_4,
Central African Republic,CAF,AFR,LIC,2025,1,5_14,
Central African Republic,CAF,AFR,LIC,2025,2,0_4,
Central African Republic,CAF,AFR,LIC,2025,2,15_64,
Central African Republic,CAF,AFR,LIC,2025,2,5_14,
Chad,TCD,AFR,LIC,2025,2,5_14,
Chad,TCD,AFR,LIC,2025,2,15_64,
Chad,TCD,AFR,LIC,2025,1,5_14,
Chad,TCD,AFR,LIC,2025,1,15_64,
Chad,TCD,AFR,LIC,2025,2,65+,
Chad,TCD,AFR,LIC,2025,1,0_4,
Chad,TCD,AFR,LIC,2025,2,0_4,
Chad,TCD,AFR,LIC,2025,1,65+,
Chile,CHL,AMR,HIC,2025,1,15_64,2
Chile,CHL,AMR,HIC,2025,1,5_14,0
Chile,CHL,AMR,HIC,2025,1,0_4,0
Chile,CHL,AMR,HIC,2025,2,65+,2
Chile,CHL,AMR,HIC,2025,1,65+,1
Chile,CHL,AMR,HIC,2025,2,0_4,0
Chile,CHL,AMR,HIC,2025,2,15_64,1
Chile,CHL,AMR,HIC,2025,2,5_14,0
China,CHN,WPR,UMC,2025,1,15_64,
China,CHN,WPR,UMC,2025,2,15_64,
China,CHN,WPR,UMC,2025,1,0_4,
China,CHN,WPR,UMC,2025,1,5_14,
China,CHN,WPR,UMC,2025,1,65+,
China,CHN,WPR,UMC,2025,2,5_14,
China,CHN,WPR,UMC,2025,2,65+,
China,CHN,WPR,UMC,2025,2,0_4,
"China, Hong Kong SAR",HKG,WPR,HIC,2025,1,0_4,
"China, Hong Kong SAR",HKG,WPR,HIC,2025,2,0_4,
"China, Hong Kong SAR",HKG,WPR,HIC,2025,1,15_64,
"China, Hong Kong SAR",HKG,WPR,HIC,2025,2,15_64,
"China, Hong Kong SAR",HKG,WPR,HIC,2025,1,5_14,
"China, Hong Kong SAR",HKG,WPR,HIC,2025,2,5_14,
"China, Hong Kong SAR",HKG,WPR,HIC,2025,1,65+,
"China, Hong Kong SAR",HKG,WPR,HIC,2025,2,65+,
"China, Macao SAR",MAC,WPR,HIC,2025,2,5_14,
"China, Macao SAR",MAC,WPR,HIC,2025,1,15_64,
"China, Macao SAR",MAC,WPR,HIC,2025,2,15_64,
"China, Macao SAR",MAC,WPR,HIC,2025,1,65+,
"China, Macao SAR",MAC,WPR,HIC,2025,2,65+,
"China, Macao SAR",MAC,WPR,HIC,2025,1,5_14,
"China, Macao SAR",MAC,WPR,HIC,2025,2,0_4,
"China, Macao SAR",MAC,WPR,HIC,2025,1,0_4,
"China, Taiwan",TWN,WPR,,2025,1,5_14,
"China, Taiwan",TWN,WPR,,2025,1,65+,
"China, Taiwan",TWN,WPR,,2025,2,5_14,
"China, Taiwan",TWN,WPR,,2025,2,65+,
"China, Taiwan",TWN,WPR,,2025,1,0_4,
"China, Taiwan",TWN,WPR,,2025,1,15_64,
